lylty_card_nbr,lifestage,premium_customer,total_sales,total_units,transactions,avg_spend_per_txn,last_purchase,recency_days,frequency,monetary,R_score,F_score,M_score,rfm_score,cluster
63044,YOUNG FAMILIES,Mainstream,32,10,5,6.4,2019-03-09,113,5,32,2,4,4,244,2
63045,OLDER SINGLES/COUPLES,Premium,29.4,10,5,5.88,2019-06-10,20,5,29.4,5,4,4,544,2
63046,OLDER FAMILIES,Mainstream,76.2,20,10,7.62,2019-04-16,75,10,76.2,3,5,5,355,1
63047,OLDER FAMILIES,Budget,52.8,16,8,6.6,2019-04-11,80,8,52.8,3,5,5,355,1
63048,YOUNG FAMILIES,Premium,54.6,14,7,7.8,2019-05-12,49,7,54.6,4,5,5,455,1
63049,YOUNG FAMILIES,Budget,24.5,7,4,6.125,2019-04-20,71,4,24.5,3,4,3,343,2
63050,YOUNG FAMILIES,Budget,50.6,14,7,7.228571428571429,2019-06-19,11,7,50.6,5,5,5,555,1
63051,YOUNG FAMILIES,Budget,79.2,22,11,7.2,2019-06-09,21,11,79.2,5,5,5,555,1
63052,MIDAGE SINGLES/COUPLES,Mainstream,32.6,8,4,8.15,2018-12-22,190,4,32.6,1,4,4,144,2
63053,OLDER SINGLES/COUPLES,Budget,37,10,4,9.25,2019-05-18,43,4,37,4,4,4,444,2
63054,OLDER FAMILIES,Budget,38,10,5,7.6,2019-06-20,10,5,38,5,4,4,544,2
63055,OLDER SINGLES/COUPLES,Premium,44.2,12,6,7.366666666666667,2019-04-23,68,6,44.2,3,5,5,355,2
63056,NEW FAMILIES,Budget,32.4,10,5,6.4799999999999995,2019-06-29,1,5,32.4,5,4,4,544,2
63057,OLDER SINGLES/COUPLES,Budget,50.6,11,6,8.433333333333334,2019-05-14,47,6,50.6,4,5,5,455,2
63058,YOUNG FAMILIES,Budget,39.6,12,6,6.6000000000000005,2019-04-21,70,6,39.6,3,5,4,354,2
63059,YOUNG FAMILIES,Budget,64.4,16,8,8.05,2019-06-06,24,8,64.4,4,5,5,455,1
63060,RETIREES,Budget,26.200000000000003,8,4,6.550000000000001,2019-02-01,149,4,26.200000000000003,2,4,3,243,2
63061,RETIREES,Mainstream,30.6,10,5,6.12,2019-05-21,40,5,30.6,4,4,4,444,2
63062,YOUNG FAMILIES,Premium,40.800000000000004,12,6,6.800000000000001,2019-01-01,180,6,40.800000000000004,2,5,4,254,2
63063,RETIREES,Mainstream,17.2,6,3,5.733333333333333,2018-11-11,231,3,17.2,1,3,3,133,3
63064,YOUNG SINGLES/COUPLES,Mainstream,39.2,10,6,6.533333333333334,2019-05-19,42,6,39.2,4,5,4,454,2
63065,OLDER SINGLES/COUPLES,Budget,53.8,16,8,6.725,2019-06-01,29,8,53.8,4,5,5,455,1
63066,MIDAGE SINGLES/COUPLES,Mainstream,76.4,21,9,8.488888888888889,2019-05-24,37,9,76.4,4,5,5,455,1
63067,OLDER FAMILIES,Mainstream,43.199999999999996,12,6,7.199999999999999,2019-06-29,1,6,43.199999999999996,5,5,5,555,2
63068,YOUNG FAMILIES,Budget,43,12,6,7.166666666666667,2019-06-10,20,6,43,5,5,5,555,2
63069,YOUNG FAMILIES,Premium,33,9,5,6.6,2019-05-29,32,5,33,4,4,4,444,2
63070,YOUNG FAMILIES,Premium,39.2,12,6,6.533333333333334,2019-02-17,133,6,39.2,2,5,4,254,2
63071,MIDAGE SINGLES/COUPLES,Mainstream,59.2,16,8,7.4,2019-06-19,11,8,59.2,5,5,5,555,1
63072,YOUNG FAMILIES,Premium,40.4,12,6,6.733333333333333,2019-04-18,73,6,40.4,3,5,4,354,2
63073,YOUNG FAMILIES,Budget,49.800000000000004,13,7,7.114285714285715,2019-05-04,57,7,49.800000000000004,3,5,5,355,1
63074,OLDER FAMILIES,Mainstream,70,16,8,8.75,2019-05-29,32,8,70,4,5,5,455,1
63075,YOUNG SINGLES/COUPLES,Budget,39.4,12,6,6.566666666666666,2019-04-09,82,6,39.4,3,5,4,354,2
63076,RETIREES,Budget,49.8,12,6,8.299999999999999,2019-06-16,14,6,49.8,5,5,5,555,2
63077,OLDER FAMILIES,Budget,49.8,16,8,6.225,2019-03-16,106,8,49.8,2,5,5,255,1
63078,OLDER FAMILIES,Budget,45,12,6,7.5,2019-06-07,23,6,45,5,5,5,555,2
63079,RETIREES,Mainstream,20.2,6,3,6.733333333333333,2019-01-27,154,3,20.2,2,3,3,233,4
63080,OLDER FAMILIES,Premium,47.8,14,7,6.828571428571428,2019-06-16,14,7,47.8,5,5,5,555,1
63081,RETIREES,Mainstream,13.4,4,2,6.7,2019-04-04,87,2,13.4,3,2,2,322,4
63082,OLDER FAMILIES,Budget,48.2,12,6,8.033333333333333,2019-05-11,50,6,48.2,4,5,5,455,2
63083,OLDER FAMILIES,Budget,58,18,9,6.444444444444445,2019-06-13,17,9,58,5,5,5,555,1
63084,OLDER FAMILIES,Premium,69.8,18,9,7.7555555555555555,2019-04-30,61,9,69.8,3,5,5,355,1
63085,MIDAGE SINGLES/COUPLES,Premium,40.6,12,6,6.766666666666667,2019-06-08,22,6,40.6,5,5,4,554,2
63086,YOUNG FAMILIES,Premium,14.8,6,3,4.933333333333334,2019-01-03,178,3,14.8,2,3,2,232,3
63087,MIDAGE SINGLES/COUPLES,Mainstream,39.800000000000004,8,4,9.950000000000001,2019-05-03,58,4,39.800000000000004,3,4,4,344,2
63088,YOUNG SINGLES/COUPLES,Budget,43.5,13,6,7.25,2019-05-12,49,6,43.5,4,5,5,455,2
63089,MIDAGE SINGLES/COUPLES,Mainstream,41.8,11,6,6.966666666666666,2019-06-12,18,6,41.8,5,5,4,554,2
63090,MIDAGE SINGLES/COUPLES,Premium,28.2,8,4,7.05,2019-04-13,78,4,28.2,3,4,4,344,2
63091,OLDER FAMILIES,Budget,33.4,11,6,5.566666666666666,2019-05-15,46,6,33.4,4,5,4,454,2
63092,OLDER SINGLES/COUPLES,Premium,27.400000000000002,10,5,5.48,2019-04-30,61,5,27.400000000000002,3,4,4,344,2
63093,YOUNG FAMILIES,Premium,54.2,14,7,7.742857142857143,2019-06-20,10,7,54.2,5,5,5,555,1
63094,OLDER SINGLES/COUPLES,Mainstream,48.6,13,5,9.72,2019-04-24,67,5,48.6,3,4,5,345,2
63095,RETIREES,Premium,45,12,6,7.5,2019-05-29,32,6,45,4,5,5,455,2
63096,OLDER FAMILIES,Budget,93.4,26,13,7.184615384615385,2019-06-14,16,13,93.4,5,5,5,555,1
63097,OLDER FAMILIES,Premium,56.4,20,10,5.64,2019-05-12,49,10,56.4,4,5,5,455,1
63098,OLDER FAMILIES,Premium,56.4,16,8,7.05,2019-04-26,65,8,56.4,3,5,5,355,1
63099,RETIREES,Premium,48.199999999999996,14,7,6.885714285714285,2019-06-19,11,7,48.199999999999996,5,5,5,555,1
63100,RETIREES,Budget,35.4,8,4,8.85,2019-06-01,29,4,35.4,4,4,4,444,2
63101,MIDAGE SINGLES/COUPLES,Mainstream,91,21,10,9.1,2019-05-20,41,10,91,4,5,5,455,1
63102,OLDER SINGLES/COUPLES,Budget,37.800000000000004,10,5,7.5600000000000005,2019-06-01,29,5,37.800000000000004,4,4,4,444,2
63103,OLDER SINGLES/COUPLES,Premium,27.2,8,4,6.8,2019-06-06,24,4,27.2,4,4,4,444,2
63104,OLDER FAMILIES,Mainstream,47.6,14,7,6.8,2019-06-30,0,7,47.6,5,5,5,555,1
63105,OLDER FAMILIES,Mainstream,31.2,10,5,6.24,2019-06-27,3,5,31.2,5,4,4,544,2
63106,RETIREES,Budget,42,11,6,7,2019-04-30,61,6,42,3,5,5,355,2
63107,RETIREES,Mainstream,26,8,4,6.5,2019-04-14,77,4,26,3,4,3,343,2
63108,OLDER SINGLES/COUPLES,Premium,38.800000000000004,8,4,9.700000000000001,2019-02-05,145,4,38.800000000000004,2,4,4,244,2
63109,YOUNG SINGLES/COUPLES,Budget,28.4,10,5,5.68,2019-05-10,51,5,28.4,4,4,4,444,2
63110,YOUNG FAMILIES,Budget,68.4,18,9,7.6000000000000005,2019-05-07,54,9,68.4,4,5,5,455,1
63111,OLDER SINGLES/COUPLES,Budget,44.4,14,7,6.3428571428571425,2019-06-14,16,7,44.4,5,5,5,555,1
63112,RETIREES,Mainstream,33.8,11,6,5.633333333333333,2019-06-23,7,6,33.8,5,5,4,554,2
63113,OLDER FAMILIES,Mainstream,74,20,10,7.4,2019-06-27,3,10,74,5,5,5,555,1
63114,OLDER SINGLES/COUPLES,Budget,33.2,10,5,6.640000000000001,2019-06-19,11,5,33.2,5,4,4,544,2
63115,YOUNG SINGLES/COUPLES,Mainstream,34,10,5,6.8,2019-06-14,16,5,34,5,4,4,544,2
63116,OLDER SINGLES/COUPLES,Mainstream,33.4,10,5,6.68,2019-04-12,79,5,33.4,3,4,4,344,2
63117,OLDER SINGLES/COUPLES,Budget,38.4,10,5,7.68,2019-06-23,7,5,38.4,5,4,4,544,2
63118,YOUNG SINGLES/COUPLES,Budget,42.2,12,6,7.033333333333334,2019-05-06,55,6,42.2,4,5,5,455,2
63119,OLDER FAMILIES,Premium,45.2,14,7,6.457142857142857,2019-06-21,9,7,45.2,5,5,5,555,1
63120,RETIREES,Mainstream,38,12,6,6.333333333333333,2019-03-29,93,6,38,3,5,4,354,2
63121,OLDER FAMILIES,Budget,45,14,7,6.428571428571429,2019-04-23,68,7,45,3,5,5,355,1
63122,YOUNG FAMILIES,Premium,45.300000000000004,15,8,5.6625000000000005,2019-04-13,78,8,45.300000000000004,3,5,5,355,1
63123,OLDER FAMILIES,Budget,34.6,12,6,5.766666666666667,2019-06-20,10,6,34.6,5,5,4,554,2
63124,RETIREES,Mainstream,34.2,10,5,6.840000000000001,2019-05-11,50,5,34.2,4,4,4,444,2
63125,YOUNG FAMILIES,Mainstream,68.6,18,9,7.622222222222222,2019-05-23,38,9,68.6,4,5,5,455,1
63126,OLDER FAMILIES,Mainstream,43.800000000000004,11,6,7.300000000000001,2019-05-19,42,6,43.800000000000004,4,5,5,455,2
63127,OLDER FAMILIES,Budget,44.4,12,6,7.3999999999999995,2019-06-11,19,6,44.4,5,5,5,555,2
63128,RETIREES,Mainstream,46,14,7,6.571428571428571,2019-05-03,58,7,46,3,5,5,355,1
63129,YOUNG SINGLES/COUPLES,Mainstream,18.6,6,3,6.2,2019-04-21,70,3,18.6,3,3,3,333,4
63130,OLDER FAMILIES,Mainstream,70.2,22,11,6.381818181818182,2019-06-30,0,11,70.2,5,5,5,555,1
63131,RETIREES,Mainstream,33,10,5,6.6,2019-05-08,53,5,33,4,4,4,444,2
63132,RETIREES,Mainstream,55.5,17,9,6.166666666666667,2019-06-24,6,9,55.5,5,5,5,555,1
63133,OLDER SINGLES/COUPLES,Premium,29,8,4,7.25,2019-01-22,159,4,29,2,4,4,244,2
63134,OLDER FAMILIES,Premium,38,9,5,7.6,2019-05-28,33,5,38,4,4,4,444,2
63135,OLDER FAMILIES,Mainstream,18,4,2,9,2019-03-29,93,2,18,3,2,3,323,4
63136,OLDER FAMILIES,Mainstream,63.3,17,9,7.033333333333333,2019-06-11,19,9,63.3,5,5,5,555,1
63137,YOUNG SINGLES/COUPLES,Mainstream,38.6,9,5,7.720000000000001,2019-06-19,11,5,38.6,5,4,4,544,2
63138,OLDER FAMILIES,Mainstream,13.6,4,2,6.8,2019-04-20,71,2,13.6,3,2,2,322,4
63139,RETIREES,Premium,50.800000000000004,12,6,8.466666666666667,2019-05-27,34,6,50.800000000000004,4,5,5,455,2
63140,MIDAGE SINGLES/COUPLES,Premium,53.4,15,6,8.9,2019-02-21,129,6,53.4,2,5,5,255,2
63141,OLDER FAMILIES,Budget,47.2,12,6,7.866666666666667,2019-06-19,11,6,47.2,5,5,5,555,2
63142,RETIREES,Premium,31.799999999999997,8,4,7.949999999999999,2019-06-17,13,4,31.799999999999997,5,4,4,544,2
63143,OLDER SINGLES/COUPLES,Premium,42.8,10,5,8.559999999999999,2019-04-01,90,5,42.8,3,4,5,345,2
63144,YOUNG FAMILIES,Budget,40,12,6,6.666666666666667,2019-05-02,59,6,40,3,5,4,354,2
63145,YOUNG SINGLES/COUPLES,Premium,18,6,3,6,2018-11-17,225,3,18,1,3,3,133,3
63146,YOUNG FAMILIES,Mainstream,54.699999999999996,17,9,6.0777777777777775,2019-05-19,42,9,54.699999999999996,4,5,5,455,1
63147,RETIREES,Budget,22.2,6,3,7.3999999999999995,2019-06-10,20,3,22.2,5,3,3,533,4
63148,YOUNG SINGLES/COUPLES,Premium,23.8,8,4,5.95,2019-04-29,62,4,23.8,3,4,3,343,2
63149,OLDER FAMILIES,Budget,48.4,14,7,6.914285714285714,2019-06-19,11,7,48.4,5,5,5,555,1
63150,OLDER FAMILIES,Mainstream,65.8,20,10,6.58,2019-04-28,63,10,65.8,3,5,5,355,1
63151,YOUNG FAMILIES,Premium,63.2,14,7,9.028571428571428,2019-06-28,2,7,63.2,5,5,5,555,1
63152,YOUNG FAMILIES,Budget,49,14,7,7,2019-06-30,0,7,49,5,5,5,555,1
63153,RETIREES,Mainstream,19.799999999999997,6,3,6.599999999999999,2019-05-10,51,3,19.799999999999997,4,3,3,433,4
63154,OLDER FAMILIES,Premium,57,14,7,8.142857142857142,2019-03-15,107,7,57,2,5,5,255,1
63155,YOUNG FAMILIES,Mainstream,69,18,9,7.666666666666667,2019-06-16,14,9,69,5,5,5,555,1
63156,RETIREES,Budget,32.8,10,5,6.56,2019-05-25,36,5,32.8,4,4,4,444,2
63157,YOUNG FAMILIES,Budget,72.4,22,11,6.581818181818182,2019-05-12,49,11,72.4,4,5,5,455,1
63158,YOUNG SINGLES/COUPLES,Mainstream,49.6,14,7,7.085714285714286,2019-06-02,28,7,49.6,4,5,5,455,1
63159,OLDER SINGLES/COUPLES,Premium,33.8,10,5,6.76,2019-06-15,15,5,33.8,5,4,4,544,2
63160,OLDER FAMILIES,Premium,70.4,18,9,7.822222222222223,2019-06-27,3,9,70.4,5,5,5,555,1
63161,RETIREES,Budget,34.6,14,7,4.942857142857143,2019-04-13,78,7,34.6,3,5,4,354,2
63162,OLDER FAMILIES,Budget,66.2,18,9,7.355555555555556,2019-06-20,10,9,66.2,5,5,5,555,1
63163,OLDER SINGLES/COUPLES,Mainstream,15.4,6,3,5.133333333333334,2019-06-06,24,3,15.4,4,3,2,432,4
63164,RETIREES,Budget,26,8,4,6.5,2019-02-13,137,4,26,2,4,3,243,2
63165,RETIREES,Budget,34.2,10,5,6.840000000000001,2019-06-18,12,5,34.2,5,4,4,544,2
63166,OLDER SINGLES/COUPLES,Premium,32.4,10,5,6.4799999999999995,2019-06-15,15,5,32.4,5,4,4,544,2
63167,OLDER FAMILIES,Mainstream,20.700000000000003,5,3,6.900000000000001,2019-05-27,34,3,20.700000000000003,4,3,3,433,4
63168,MIDAGE SINGLES/COUPLES,Premium,30,10,6,5,2019-05-08,53,6,30,4,5,4,454,2
63169,OLDER SINGLES/COUPLES,Premium,79.6,21,11,7.2363636363636354,2019-05-03,58,11,79.6,3,5,5,355,1
63170,YOUNG FAMILIES,Mainstream,56.4,16,8,7.05,2019-06-25,5,8,56.4,5,5,5,555,1
63171,YOUNG SINGLES/COUPLES,Mainstream,56.8,16,8,7.1,2019-06-29,1,8,56.8,5,5,5,555,1
63172,OLDER FAMILIES,Premium,55.800000000000004,18,9,6.2,2019-06-30,0,9,55.800000000000004,5,5,5,555,1
63173,OLDER SINGLES/COUPLES,Mainstream,42.6,12,6,7.1000000000000005,2019-05-13,48,6,42.6,4,5,5,455,2
63174,OLDER FAMILIES,Mainstream,60.2,16,8,7.525,2019-06-22,8,8,60.2,5,5,5,555,1
63175,RETIREES,Budget,31.2,10,5,6.24,2019-02-17,133,5,31.2,2,4,4,244,2
63176,RETIREES,Mainstream,34.5,11,5,6.9,2019-06-05,25,5,34.5,4,4,4,444,2
63177,MIDAGE SINGLES/COUPLES,Mainstream,47.8,14,7,6.828571428571428,2019-06-15,15,7,47.8,5,5,5,555,1
63178,OLDER FAMILIES,Premium,50.8,14,7,7.257142857142857,2019-04-11,80,7,50.8,3,5,5,355,1
63179,OLDER FAMILIES,Mainstream,34.4,10,5,6.88,2019-05-09,52,5,34.4,4,4,4,444,2
63180,OLDER SINGLES/COUPLES,Mainstream,18.4,6,3,6.133333333333333,2018-12-28,184,3,18.4,2,3,3,233,3
63181,RETIREES,Mainstream,59.800000000000004,16,8,7.4750000000000005,2019-06-23,7,8,59.800000000000004,5,5,5,555,1
63182,OLDER FAMILIES,Budget,42.6,14,7,6.085714285714286,2019-05-26,35,7,42.6,4,5,5,455,2
63183,OLDER SINGLES/COUPLES,Mainstream,36.800000000000004,11,6,6.133333333333334,2019-03-30,92,6,36.800000000000004,3,5,4,354,2
63184,YOUNG SINGLES/COUPLES,Mainstream,40,10,5,8,2019-06-21,9,5,40,5,4,4,544,2
63185,MIDAGE SINGLES/COUPLES,Premium,30.4,8,4,7.6,2019-06-19,11,4,30.4,5,4,4,544,2
63186,MIDAGE SINGLES/COUPLES,Mainstream,35.800000000000004,10,5,7.160000000000001,2019-06-24,6,5,35.800000000000004,5,4,4,544,2
63187,YOUNG SINGLES/COUPLES,Premium,40,14,7,5.714285714285714,2019-05-02,59,7,40,3,5,4,354,2
63188,RETIREES,Mainstream,22,8,4,5.5,2019-06-19,11,4,22,5,4,3,543,2
63189,YOUNG FAMILIES,Mainstream,30.6,10,5,6.12,2019-06-06,24,5,30.6,4,4,4,444,2
63190,RETIREES,Premium,30,8,4,7.5,2019-05-11,50,4,30,4,4,4,444,2
63191,YOUNG SINGLES/COUPLES,Budget,11,4,2,5.5,2018-09-02,301,2,11,1,2,2,122,3
63192,OLDER FAMILIES,Budget,78,22,11,7.090909090909091,2019-06-27,3,11,78,5,5,5,555,1
63193,MIDAGE SINGLES/COUPLES,Premium,43.6,12,6,7.266666666666667,2019-05-26,35,6,43.6,4,5,5,455,2
63194,OLDER FAMILIES,Mainstream,59,16,8,7.375,2019-06-10,20,8,59,5,5,5,555,1
63195,YOUNG FAMILIES,Budget,49.4,14,7,7.057142857142857,2019-05-13,48,7,49.4,4,5,5,455,1
63196,OLDER FAMILIES,Premium,43,12,6,7.166666666666667,2019-04-13,78,6,43,3,5,5,355,2
63197,OLDER FAMILIES,Budget,122.6,30,14,8.757142857142856,2019-06-23,7,14,122.6,5,5,5,555,1
63198,YOUNG SINGLES/COUPLES,Mainstream,33.8,8,4,8.45,2019-04-15,76,4,33.8,3,4,4,344,2
63199,RETIREES,Mainstream,13.6,4,2,6.8,2018-12-17,195,2,13.6,1,2,2,122,3
63200,RETIREES,Premium,41.8,12,6,6.966666666666666,2019-05-24,37,6,41.8,4,5,4,454,2
63201,MIDAGE SINGLES/COUPLES,Budget,15,5,3,5,2019-05-20,41,3,15,4,3,2,432,4
63202,OLDER FAMILIES,Premium,62.2,18,9,6.911111111111111,2019-01-15,166,9,62.2,2,5,5,255,1
63203,YOUNG FAMILIES,Budget,42.8,10,5,8.559999999999999,2019-06-26,4,5,42.8,5,4,5,545,2
63204,OLDER SINGLES/COUPLES,Budget,37.8,12,6,6.3,2019-06-30,0,6,37.8,5,5,4,554,2
63205,RETIREES,Budget,22,8,4,5.5,2019-06-18,12,4,22,5,4,3,543,2
63206,YOUNG SINGLES/COUPLES,Premium,57,18,9,6.333333333333333,2019-05-05,56,9,57,3,5,5,355,1
63207,MIDAGE SINGLES/COUPLES,Mainstream,43.2,12,6,7.2,2019-06-25,5,6,43.2,5,5,5,555,2
63208,YOUNG SINGLES/COUPLES,Mainstream,60.6,15,8,7.575,2019-06-24,6,8,60.6,5,5,5,555,1
63209,OLDER FAMILIES,Budget,7.9,3,2,3.95,2019-02-03,147,2,7.9,2,2,2,222,4
63210,YOUNG FAMILIES,Mainstream,73.6,19,10,7.359999999999999,2019-03-28,94,10,73.6,3,5,5,355,1
63211,YOUNG FAMILIES,Budget,61.2,20,10,6.12,2019-05-05,56,10,61.2,3,5,5,355,1
63212,YOUNG SINGLES/COUPLES,Budget,25,8,4,6.25,2019-06-19,11,4,25,5,4,3,543,2
63213,YOUNG FAMILIES,Premium,44.4,12,6,7.3999999999999995,2019-06-22,8,6,44.4,5,5,5,555,2
63214,YOUNG SINGLES/COUPLES,Mainstream,20.2,6,3,6.733333333333333,2019-03-06,116,3,20.2,2,3,3,233,4
63215,RETIREES,Mainstream,37,12,6,6.166666666666667,2019-06-30,0,6,37,5,5,4,554,2
63216,OLDER FAMILIES,Mainstream,62.6,18,9,6.955555555555556,2019-05-13,48,9,62.6,4,5,5,455,1
63217,RETIREES,Mainstream,43.800000000000004,12,6,7.300000000000001,2019-06-17,13,6,43.800000000000004,5,5,5,555,2
63218,NEW FAMILIES,Budget,7.6,2,1,7.6,2019-03-05,117,1,7.6,2,1,1,211,4
63219,RETIREES,Mainstream,55.6,16,8,6.95,2019-06-30,0,8,55.6,5,5,5,555,1
63220,YOUNG FAMILIES,Mainstream,45.8,14,7,6.542857142857143,2019-06-25,5,7,45.8,5,5,5,555,1
63221,OLDER SINGLES/COUPLES,Premium,46.7,13,7,6.671428571428572,2019-04-23,68,7,46.7,3,5,5,355,1
63222,MIDAGE SINGLES/COUPLES,Mainstream,71.6,20,10,7.159999999999999,2019-06-30,0,10,71.6,5,5,5,555,1
63223,OLDER SINGLES/COUPLES,Mainstream,43.4,12,6,7.233333333333333,2019-05-09,52,6,43.4,4,5,5,455,2
63224,RETIREES,Budget,30.6,10,5,6.12,2019-05-21,40,5,30.6,4,4,4,444,2
63225,MIDAGE SINGLES/COUPLES,Budget,24,8,4,6,2019-06-26,4,4,24,5,4,3,543,2
63226,YOUNG FAMILIES,Premium,43.8,15,8,5.475,2019-05-29,32,8,43.8,4,5,5,455,1
63227,RETIREES,Mainstream,11.8,2,1,11.8,2019-05-08,53,1,11.8,4,1,2,412,4
63228,RETIREES,Premium,26.6,10,5,5.32,2019-01-27,154,5,26.6,2,4,3,243,2
63229,OLDER SINGLES/COUPLES,Mainstream,25.9,7,4,6.475,2019-05-14,47,4,25.9,4,4,3,443,2
63230,OLDER FAMILIES,Budget,44,12,6,7.333333333333333,2019-03-27,95,6,44,3,5,5,355,2
63231,RETIREES,Mainstream,31.6,8,4,7.9,2019-05-11,50,4,31.6,4,4,4,444,2
63232,OLDER FAMILIES,Budget,65.4,14,7,9.342857142857143,2019-05-12,49,7,65.4,4,5,5,455,1
63233,OLDER FAMILIES,Mainstream,32.8,10,5,6.56,2019-06-06,24,5,32.8,4,4,4,444,2
63234,MIDAGE SINGLES/COUPLES,Mainstream,40,10,5,8,2019-06-08,22,5,40,5,4,4,544,2
63235,OLDER SINGLES/COUPLES,Mainstream,48.7,11,6,8.116666666666667,2019-05-14,47,6,48.7,4,5,5,455,2
63236,OLDER SINGLES/COUPLES,Mainstream,43.8,12,6,7.3,2019-05-11,50,6,43.8,4,5,5,455,2
63237,YOUNG SINGLES/COUPLES,Mainstream,69,20,10,6.9,2019-05-12,49,10,69,4,5,5,455,1
63238,RETIREES,Premium,47.9,11,6,7.983333333333333,2019-04-27,64,6,47.9,3,5,5,355,2
63239,YOUNG FAMILIES,Premium,64.4,18,9,7.155555555555556,2019-04-27,64,9,64.4,3,5,5,355,1
63240,YOUNG FAMILIES,Budget,69.60000000000001,17,9,7.733333333333334,2019-06-06,24,9,69.60000000000001,4,5,5,455,1
63241,MIDAGE SINGLES/COUPLES,Mainstream,50,16,8,6.25,2019-06-28,2,8,50,5,5,5,555,1
63242,RETIREES,Budget,24.4,8,4,6.1,2019-06-24,6,4,24.4,5,4,3,543,2
63243,YOUNG SINGLES/COUPLES,Mainstream,7.4,2,1,7.4,2018-07-08,357,1,7.4,1,1,1,111,3
63244,RETIREES,Budget,29.6,8,4,7.4,2019-05-11,50,4,29.6,4,4,4,444,2
63245,RETIREES,Budget,46,16,8,5.75,2019-05-28,33,8,46,4,5,5,455,1
63246,OLDER SINGLES/COUPLES,Mainstream,20.6,7,4,5.15,2019-06-13,17,4,20.6,5,4,3,543,2
63247,MIDAGE SINGLES/COUPLES,Mainstream,38.7,11,6,6.45,2019-01-31,150,6,38.7,2,5,4,254,2
63248,RETIREES,Premium,44.5,11,6,7.416666666666667,2019-06-09,21,6,44.5,5,5,5,555,2
63249,YOUNG FAMILIES,Premium,48,14,7,6.857142857142857,2019-06-01,29,7,48,4,5,5,455,1
63250,OLDER FAMILIES,Budget,58,18,9,6.444444444444445,2019-05-07,54,9,58,4,5,5,455,1
63251,OLDER SINGLES/COUPLES,Mainstream,65.8,18,9,7.311111111111111,2019-05-30,31,9,65.8,4,5,5,455,1
63252,YOUNG SINGLES/COUPLES,Budget,24,8,4,6,2019-04-25,66,4,24,3,4,3,343,2
63253,OLDER SINGLES/COUPLES,Mainstream,58,16,9,6.444444444444445,2019-05-19,42,9,58,4,5,5,455,1
63254,OLDER FAMILIES,Budget,45.4,12,6,7.566666666666666,2019-06-28,2,6,45.4,5,5,5,555,2
63255,RETIREES,Mainstream,39.6,10,5,7.92,2019-04-07,84,5,39.6,3,4,4,344,2
63256,OLDER FAMILIES,Premium,41.2,14,7,5.885714285714286,2019-04-19,72,7,41.2,3,5,4,354,2
64000,OLDER SINGLES/COUPLES,Mainstream,18.6,4,2,9.3,2019-04-25,66,2,18.6,3,2,3,323,4
64001,RETIREES,Budget,16.6,4,2,8.3,2018-08-10,324,2,16.6,1,2,3,123,3
64002,OLDER SINGLES/COUPLES,Mainstream,22.8,4,2,11.4,2018-11-16,226,2,22.8,1,2,3,123,3
64004,MIDAGE SINGLES/COUPLES,Mainstream,14.600000000000001,4,2,7.300000000000001,2018-11-27,215,2,14.600000000000001,1,2,2,122,3
64005,YOUNG SINGLES/COUPLES,Mainstream,14.399999999999999,4,2,7.199999999999999,2018-11-05,237,2,14.399999999999999,1,2,2,122,3
64006,OLDER FAMILIES,Budget,8.8,2,1,8.8,2019-01-13,168,1,8.8,2,1,2,212,3
64007,MIDAGE SINGLES/COUPLES,Premium,7.6,2,1,7.6,2019-05-26,35,1,7.6,4,1,1,411,4
64009,YOUNG SINGLES/COUPLES,Budget,20.6,4,2,10.3,2018-12-01,211,2,20.6,1,2,3,123,3
64010,MIDAGE SINGLES/COUPLES,Premium,8.8,2,1,8.8,2018-10-11,262,1,8.8,1,1,2,112,3
64011,OLDER SINGLES/COUPLES,Mainstream,16.8,4,2,8.4,2018-09-15,288,2,16.8,1,2,3,123,3
64013,OLDER SINGLES/COUPLES,Mainstream,32.8,7,2,16.4,2019-06-03,27,2,32.8,4,2,4,424,4
64014,MIDAGE SINGLES/COUPLES,Budget,23.4,6,3,7.8,2018-10-25,248,3,23.4,1,3,3,133,3
64015,YOUNG FAMILIES,Budget,14.399999999999999,4,2,7.199999999999999,2018-11-19,223,2,14.399999999999999,1,2,2,122,3
64016,RETIREES,Mainstream,22.8,4,2,11.4,2018-12-19,193,2,22.8,1,2,3,123,3
64019,MIDAGE SINGLES/COUPLES,Budget,27.6,6,3,9.200000000000001,2019-03-10,112,3,27.6,2,3,4,234,4
64020,NEW FAMILIES,Budget,15.100000000000001,3,2,7.550000000000001,2019-05-19,42,2,15.100000000000001,4,2,2,422,4
64021,YOUNG SINGLES/COUPLES,Mainstream,16.6,4,2,8.3,2019-01-26,155,2,16.6,2,2,3,223,4
64022,YOUNG FAMILIES,Premium,19.4,4,2,9.7,2019-06-05,25,2,19.4,4,2,3,423,4
64023,OLDER SINGLES/COUPLES,Premium,7.8,2,1,7.8,2019-06-30,0,1,7.8,5,1,2,512,4
64024,RETIREES,Mainstream,17.200000000000003,4,2,8.600000000000001,2019-06-22,8,2,17.200000000000003,5,2,3,523,4
64025,YOUNG FAMILIES,Budget,6.6,2,1,6.6,2018-10-26,247,1,6.6,1,1,1,111,3
